Pipeline,Rate Definition ID,Rate Schedule,Provider Charge Type,Charge Unit,Start Date,End Date,Rate Category,Season,Rec Loc Type,Rec Loc ID,Del Loc Type,Del Loc ID,Rate Type,Rate Unit,Charge Indicator,Rate
GLGT,246246,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,RATTLE RUN,Location,CLOW,Fixed,,Delivery,1.0837
GLGT,246332,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,MIDLAND,Fixed,,Delivery,0.20256
GLGT,246331,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,MANISTIQUE,Fixed,,Delivery,1.51846
GLGT,246330,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,LAMMERS,Fixed,,Delivery,0.64508
GLGT,246329,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,GRAND RAPIDS,Fixed,,Delivery,2.80007
GLGT,246327,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,ENGADINE,Fixed,,Delivery,0.20256
GLGT,246295,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON,Location,ST CLAIR,Fixed,,Delivery,0
GLGT,246333,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,RAPID RIVER,Fixed,,Delivery,2.16348
GLGT,246326,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,EMERSON,Fixed,,Delivery,0.20256
GLGT,246325,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,DEWARD,Fixed,,Delivery,1.51846
GLGT,246324,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,CLOW,Fixed,,Delivery,0.64508
GLGT,246323,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,CHIPPEWA,Fixed,,Delivery,2.80007
GLGT,246322,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,CARLTON,Fixed,,Delivery,2.16348
GLGT,246247,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,RATTLE RUN,Location,EMERSON,Fixed,,Delivery,1.0837
GLGT,246243,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,TRUMBLE ROAD,Fixed,,Delivery,0
GLGT,246335,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,ST CLAIR,Fixed,,Delivery,0.64508
GLGT,246296,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON,Location,TRUMBLE ROAD,Fixed,,Delivery,1.73441
GLGT,246339,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,CARLTON,Fixed,,Delivery,0
GLGT,246344,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,FARWELL,Fixed,,Delivery,0
GLGT,246343,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,EMERSON,Fixed,,Delivery,0
GLGT,246342,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,DEWARD,Fixed,,Delivery,1.30156
GLGT,246341,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,CLOW,Fixed,,Delivery,1.30156
GLGT,246340,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,CHIPPEWA,Fixed,,Delivery,0
