Rate Definition ID,Rate Schedule,Provider Charge Type,Charge Unit,Start Date,End Date,Rate Category,Season,Rec Loc Type,Rec Loc ID,Del Loc Type,Del Loc ID,Rate Type,Rate Unit,Charge Indicator,Rate,Rate Override,Custody Contract,Shipper,Custody Deal,Buy/Sell Deal,Comments,Product Category,Products
177272,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,RATTLE RUN,Location,RAPID RIVER,Fixed,,Delivery,0,,,,,,,All,None
177186,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,ST.CLAIR,Location,RAPID RIVER,Fixed,,Delivery,0,,,,,,,All,None
177287,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,ST.CLAIR,Location,RAPID RIVER,Fixed,,Delivery,0,,,,,,,All,None
177102,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,CARLTON,Location,RATTLE RUN,Fixed,,Delivery,1.71,,,,,,,All,None
177203,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,CARLTON,Location,RATTLE RUN,Fixed,,Delivery,1.71,,,,,,,All,None
177128,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,EMERSON,Location,RATTLE RUN,Fixed,,Delivery,2.10039,,,,,,,All,None
177229,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,EMERSON,Location,RATTLE RUN,Fixed,,Delivery,2.10039,,,,,,,All,None
177146,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FARWELL,Location,RATTLE RUN,Fixed,,Delivery,0.63728,,,,,,,All,None
177247,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FARWELL,Location,RATTLE RUN,Fixed,,Delivery,0.63728,,,,,,,All,None
177161,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FORTUNE LAKE,Location,RATTLE RUN,Fixed,,Delivery,1.31,,,,,,,All,None
177262,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FORTUNE LAKE,Location,RATTLE RUN,Fixed,,Delivery,1.31,,,,,,,All,None
177187,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,ST.CLAIR,Location,RATTLE RUN,Fixed,,Delivery,0,,,,,,,All,None
177288,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,ST.CLAIR,Location,RATTLE RUN,Fixed,,Delivery,0,,,,,,,All,None
177129,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,EMERSON,Location,SAULT STE MARIE TCPL,Fixed,,Delivery,1.70561,,,,,,,All,None
177230,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,EMERSON,Location,SAULT STE MARIE TCPL,Fixed,,Delivery,0.50211,,,,,,,All,None
177188,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,ST.CLAIR,Location,SAULT STE MARIE TCPL,Fixed,,Delivery,0,,,,,,,All,None
177289,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,ST.CLAIR,Location,SAULT STE MARIE TCPL,Fixed,,Delivery,0,,,,,,,All,None
