originLocation,destinationLocation,equipmentType,productType
"BRANDON, MB","HUNTINGTON, IN",SINGLE,UAN
"BRANDON, MB","HYSHAM, MT",SINGLE,UAN
"BRANDON, MB","IDAHO FALLS, ID",SINGLE,UAN
"BRANDON, MB","ILLMO, MO",SINGLE,10-34-0
"BRANDON, MB","IONIA, IA",SINGLE,10-34-0
"BRANDON, MB","IONIA, IA",SINGLE,ATS
"BRANDON, MB","IONIA, IA",SINGLE,UAN
"BRANDON, MB","IPSWICH, SD",SINGLE,UAN
"BRANDON, MB","JACKSON JCT, IA",SINGLE,10-34-0
"BRANDON, MB","JACKSON JCT, IA",SINGLE,ATS
"BRANDON, MB","JACKSON JCT, IA",SINGLE,UAN
"BRANDON, MB","JACKSON, OH",SINGLE,ATS
"BRANDON, MB","JACKSON, OH",SINGLE,UAN
"BRANDON, MB","JAMESTOWN, ND",SINGLE,ATS
"BRANDON, MB","JAMESTOWN, ND",SINGLE,UAN
"BRANDON, MB","JANESVILLE, MN",SINGLE,10-34-0
"BRANDON, MB","JANESVILLE, MN",SINGLE,ATS
"BRANDON, MB","JANESVILLE, MN",SINGLE,UAN
"BRANDON, MB","JOICE, IA",SINGLE,UAN
"BRANDON, MB","JOLIETTE, QC",SINGLE,10-34-0
"BRANDON, MB","JOLIETTE, QC",SINGLE,ATS
"BRANDON, MB","JOLIETTE, QC",SINGLE,UAN
"BRANDON, MB","JUNCTION CITY, OR",SINGLE,UAN
"BRANDON, MB","KANKAKEE, IL",SINGLE,10-34-0
"BRANDON, MB","KANKAKEE, IL",SINGLE,ATS
"BRANDON, MB","KANKAKEE, IL",SINGLE,UAN
"BRANDON, MB","KAUKAUNA, WI",SINGLE,10-34-0
"BRANDON, MB","KAUKAUNA, WI",SINGLE,ATS
"BRANDON, MB","KAUKAUNA, WI",SINGLE,UAN
"BRANDON, MB","KELSEY, AB",SINGLE,10-34-0
"BRANDON, MB","KELSEY, AB",SINGLE,ATS
"BRANDON, MB","KELSEY, AB",SINGLE,UAN
